,docid,isValid,passage,passageid
0,BioInfer.d0,True, PROTEIN inhibits PROTEIN1 signaling by preventing formation of a PROTEIN PROTEIN2 DNA complex.,BioInfer.d0.s0
1,BioInfer.d0,True, PROTEIN1 inhibits PROTEIN signaling by preventing formation of a PROTEIN PROTEIN2 DNA complex.,BioInfer.d0.s0
2,BioInfer.d0,True, PROTEIN inhibits PROTEIN signaling by preventing formation of a PROTEIN1 PROTEIN2 DNA complex.,BioInfer.d0.s0
3,BioInfer.d0,True, PROTEIN1 inhibits PROTEIN2 signaling by preventing formation of a PROTEIN PROTEIN DNA complex.,BioInfer.d0.s0
4,BioInfer.d0,True, PROTEIN inhibits PROTEIN1 signaling by preventing formation of a PROTEIN2 PROTEIN DNA complex.,BioInfer.d0.s0
5,BioInfer.d0,True, PROTEIN1 inhibits PROTEIN signaling by preventing formation of a PROTEIN2 PROTEIN DNA complex.,BioInfer.d0.s0
6,BioInfer.d1,True,A binary complex of birch PROTEIN1 and PROTEIN2 could be isolated by gel chromatography.,BioInfer.d1.s0
7,BioInfer.d1,True,"Birch PROTEIN1 increased the critical concentration required for muscle and PROTEIN polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2 ",BioInfer.d1.s1
8,BioInfer.d1,True,"Birch PROTEIN1 increased the critical concentration required for muscle and PROTEIN2 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN ",BioInfer.d1.s1
9,BioInfer.d1,False,"Birch PROTEIN increased the critical concentration required for muscle and PROTEIN1 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2 ",BioInfer.d1.s1
10,BioInfer.d1,True,Interaction of plant PROTEIN1 with mammalian PROTEIN2 ,BioInfer.d1.s2
11,BioInfer.d1,True,"In viscometric assays, the birch protein was seen to modulate PROTEIN1 filament formation analogous to animal PROTEIN2 ",BioInfer.d1.s3
12,BioInfer.d1,True,"These data indicate that the PROTEIN1 binding domains in plant and animal PROTEIN2 are functionally highly conserved, although the overall sequence similarity is less than 25%.",BioInfer.d1.s4
13,BioInfer.d2,False,Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN in 35 (66.0%) for PROTEIN1 in 20 (37.7%) for PROTEIN and in 37 (69.8%) for PROTEIN2 ,BioInfer.d2.s0
14,BioInfer.d2,False,Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN in 35 (66.0%) for PROTEIN in 20 (37.7%) for PROTEIN1 and in 37 (69.8%) for PROTEIN2 ,BioInfer.d2.s0
15,BioInfer.d2,False,Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN1 in 35 (66.0%) for PROTEIN in 20 (37.7%) for PROTEIN and in 37 (69.8%) for PROTEIN2 ,BioInfer.d2.s0
16,BioInfer.d2,False,Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN in 35 (66.0%) for PROTEIN1 in 20 (37.7%) for PROTEIN2 and in 37 (69.8%) for PROTEIN ,BioInfer.d2.s0
17,BioInfer.d2,False,Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN1 in 35 (66.0%) for PROTEIN2 in 20 (37.7%) for PROTEIN and in 37 (69.8%) for PROTEIN ,BioInfer.d2.s0
18,BioInfer.d2,False,Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN1 in 35 (66.0%) for PROTEIN in 20 (37.7%) for PROTEIN2 and in 37 (69.8%) for PROTEIN ,BioInfer.d2.s0
19,BioInfer.d3,True,Absence of PROTEIN1 leads to structurally aberrant neuromuscular synapses deficient in PROTEIN2 ,BioInfer.d3.s0
20,BioInfer.d3,False,"Thus, PROTEIN has an important role in synapse formation and in the organization of PROTEIN1 PROTEIN and PROTEIN2 at the neuromuscular synapse.",BioInfer.d3.s1
21,BioInfer.d3,True,"Thus, PROTEIN1 has an important role in synapse formation and in the organization of PROTEIN2 PROTEIN and PROTEIN at the neuromuscular synapse.",BioInfer.d3.s1
22,BioInfer.d3,False,"Thus, PROTEIN has an important role in synapse formation and in the organization of PROTEIN1 PROTEIN2 and PROTEIN at the neuromuscular synapse.",BioInfer.d3.s1
23,BioInfer.d3,True,"Thus, PROTEIN1 has an important role in synapse formation and in the organization of PROTEIN PROTEIN and PROTEIN2 at the neuromuscular synapse.",BioInfer.d3.s1
24,BioInfer.d3,False,"Thus, PROTEIN has an important role in synapse formation and in the organization of PROTEIN PROTEIN1 and PROTEIN2 at the neuromuscular synapse.",BioInfer.d3.s1
25,BioInfer.d3,True,"Thus, PROTEIN1 has an important role in synapse formation and in the organization of PROTEIN PROTEIN2 and PROTEIN at the neuromuscular synapse.",BioInfer.d3.s1
26,BioInfer.d4,True,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN1 PROTEIN PROTEIN and PROTEIN is not affected by the differential PROTEIN2 expression.,BioInfer.d4.s0
27,BioInfer.d4,True,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN PROTEIN PROTEIN and PROTEIN1 is not affected by the differential PROTEIN2 expression.,BioInfer.d4.s0
28,BioInfer.d4,True,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN PROTEIN1 PROTEIN and PROTEIN is not affected by the differential PROTEIN2 expression.,BioInfer.d4.s0
29,BioInfer.d4,False,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN PROTEIN PROTEIN1 and PROTEIN is not affected by the differential PROTEIN2 expression.,BioInfer.d4.s0
30,BioInfer.d4,True,Abundance of PROTEIN PROTEIN1 alpha 5 and PROTEIN PROTEIN PROTEIN and PROTEIN is not affected by the differential PROTEIN2 expression.,BioInfer.d4.s0
31,BioInfer.d4,True,Abundance of PROTEIN1 PROTEIN alpha 5 and PROTEIN PROTEIN PROTEIN and PROTEIN is not affected by the differential PROTEIN2 expression.,BioInfer.d4.s0
32,BioInfer.d4,False,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN1 PROTEIN PROTEIN and PROTEIN2 is not affected by the differential PROTEIN expression.,BioInfer.d4.s0
33,BioInfer.d4,False,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN1 PROTEIN2 PROTEIN and PROTEIN is not affected by the differential PROTEIN expression.,BioInfer.d4.s0
34,BioInfer.d4,False,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN1 PROTEIN PROTEIN2 and PROTEIN is not affected by the differential PROTEIN expression.,BioInfer.d4.s0
35,BioInfer.d4,False,Abundance of PROTEIN PROTEIN1 alpha 5 and PROTEIN2 PROTEIN PROTEIN and PROTEIN is not affected by the differential PROTEIN expression.,BioInfer.d4.s0
36,BioInfer.d4,False,Abundance of PROTEIN1 PROTEIN alpha 5 and PROTEIN2 PROTEIN PROTEIN and PROTEIN is not affected by the differential PROTEIN expression.,BioInfer.d4.s0
37,BioInfer.d4,False,Abundance of PROTEIN PROTEIN alpha 5 and PROTEIN PROTEIN1 PROTEIN and PROTEIN2 is not affected by the differential PROTEIN expression.,BioInfer.d4.s0
