,docid,isValid,passage,passageid
0,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits ( PROTEIN1 and PROTEIN2 of human PROTEIN and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0
1,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits ( PROTEIN and PROTEIN1 of human PROTEIN2 and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0
2,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits ( PROTEIN1 and PROTEIN of human PROTEIN2 and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0
3,HPRD50.d1,True,"Identification of residues in the PROTEIN1 that contact the MCP-1 receptor, PROTEIN2 ",HPRD50.d1.s0
4,HPRD50.d1,False,The receptor binding site of PROTEIN1 also is significantly different from the binding sites of PROTEIN and PROTEIN2 providing insight into the issue of receptor specificity,HPRD50.d1.s1
5,HPRD50.d1,False,The receptor binding site of PROTEIN1 also is significantly different from the binding sites of PROTEIN2 and PROTEIN providing insight into the issue of receptor specificity,HPRD50.d1.s1
6,HPRD50.d1,False,The receptor binding site of PROTEIN also is significantly different from the binding sites of PROTEIN1 and PROTEIN2 providing insight into the issue of receptor specificity,HPRD50.d1.s1
7,HPRD50.d1,True,It was previously shown that the N-terminus of PROTEIN1 is critical for binding PROTEIN2 ,HPRD50.d1.s2
8,HPRD50.d1,True,"To identify the regions of PROTEIN1 that contact its receptor, PROTEIN2 we substituted all surface-exposed residues with alanine",HPRD50.d1.s3
9,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN1 subunit or the PROTEIN2 and PROTEIN monomer,HPRD50.d2.s0
10,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN subunit or the PROTEIN1 and PROTEIN2 monomer,HPRD50.d2.s0
11,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN1 subunit or the PROTEIN and PROTEIN2 monomer,HPRD50.d2.s0
12,HPRD50.d2,False,The formation of a functional single chain/subunit complex was not restricted to the FSH single chain/ PROTEIN1 subunit since CG single chain interacts with the monomeric PROTEIN2 subunit and exhibits FSH activity,HPRD50.d2.s1
13,HPRD50.d2,False,"This is relevant for the case of LH and FSH, because both are synthesized in the same cell (i.e., pituitary gonadotrophs) and several of the alpha subunit sequences required for association with either the PROTEIN1 or PROTEIN2 subunits are different",HPRD50.d2.s2
14,HPRD50.d2,False,"Previously, we showed that the PROTEIN1 or PROTEIN2 subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN and F beta alpha, respectively",HPRD50.d2.s3
15,HPRD50.d2,False,"Previously, we showed that the PROTEIN1 or PROTEIN subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2 and F beta alpha, respectively",HPRD50.d2.s3
16,HPRD50.d2,False,"Previously, we showed that the PROTEIN or PROTEIN1 subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2 and F beta alpha, respectively",HPRD50.d2.s3
17,HPRD50.d3,True, PROTEIN1 activates PROTEIN2 which inhibits apoptosis in human prostate cancer cell lines,HPRD50.d3.s0
18,HPRD50.d3,False,RESULTS: Tyrosine phosphorylation of p85 is upregulated by PROTEIN1 in both LNCaP and PROTEIN2 ,HPRD50.d3.s1
19,HPRD50.d3,True, PROTEIN1 promotes coprecipitation of p85 with PROTEIN2 the signal-transducing component of the PROTEIN ,HPRD50.d3.s2
20,HPRD50.d3,False, PROTEIN1 promotes coprecipitation of p85 with PROTEIN the signal-transducing component of the PROTEIN2 ,HPRD50.d3.s2
21,HPRD50.d3,False, PROTEIN promotes coprecipitation of p85 with PROTEIN1 the signal-transducing component of the PROTEIN2 ,HPRD50.d3.s2
22,HPRD50.d4,False,"In solution, FGFR4ed formed complexes with PROTEIN1 and PROTEIN2 both in the presence and absence of heparin",HPRD50.d4.s0
23,HPRD50.d4,False,Immobilized PROTEIN also bound PROTEIN1 besides PROTEIN2 and PROTEIN ,HPRD50.d4.s1
24,HPRD50.d4,True,Immobilized PROTEIN1 also bound PROTEIN2 besides PROTEIN and PROTEIN ,HPRD50.d4.s1
25,HPRD50.d4,False,Immobilized PROTEIN also bound PROTEIN1 besides PROTEIN and PROTEIN2 ,HPRD50.d4.s1
26,HPRD50.d4,True,Immobilized PROTEIN1 also bound PROTEIN besides PROTEIN2 and PROTEIN ,HPRD50.d4.s1
27,HPRD50.d4,False,Immobilized PROTEIN also bound PROTEIN besides PROTEIN1 and PROTEIN2 ,HPRD50.d4.s1
28,HPRD50.d4,True,Immobilized PROTEIN1 also bound PROTEIN besides PROTEIN and PROTEIN2 ,HPRD50.d4.s1
29,HPRD50.d5,True, PROTEIN1 regulates beta-2 integrin-mediated adhesion through both ARF-GEF function and interaction with PROTEIN2 ,HPRD50.d5.s0
30,HPRD50.d5,True,"Here we provide evidence of how PROTEIN1 an integrin-binding protein and guanine-nucleotide exchange factor (GEF) for PROTEIN2 GTPases, regulates cell adhesion",HPRD50.d5.s1
31,HPRD50.d5,True,Mutational analyses of the beta-2 cytoplasmic domain revealed that the adhesive function of PROTEIN1 depends on its interaction with PROTEIN2 unless the integrin is activated by exogenous divalent cations,HPRD50.d5.s2
32,HPRD50.d5,True,"Secondly, PROTEIN1 induces expression of an extracellular activation epitope of PROTEIN2 and the exchange factor function is not essential for this activity",HPRD50.d5.s3
33,HPRD50.d5,True,"In contrast, LFA-1-mediated cell adhesion and spreading on intercellular cell adhesion molecule 1 is strongly inhibited by a PROTEIN1 mutant, which fails to catalyze PROTEIN2 GDP-GTP exchange in vitro",HPRD50.d5.s4
34,HPRD50.d5,True,"Thus, PROTEIN1 is involved in the activation of PROTEIN2 most probably through direct interaction with the integrin, and induces cell spreading by its ARF-GEF activity",HPRD50.d5.s5
35,HPRD50.d7,True,Suppression of rat thromboxane synthase gene transcription by PROTEIN1 in macrophages via an interaction with PROTEIN2 ,HPRD50.d7.s0
36,HPRD50.d7,False,"Deletion analysis showed that the element responsible for the PPARgamma effect is located in a region containing the nuclear factor E2 ( PROTEIN1 / PROTEIN2 site (-98/-88), which was indicated to be the major promoter of the TXS gene",HPRD50.d7.s1
37,HPRD50.d7,False,"By electrophoretic mobility shift assay using the PROTEIN PROTEIN1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN2 ( PROTEIN ",HPRD50.d7.s2
38,HPRD50.d7,False,"By electrophoretic mobility shift assay using the PROTEIN PROTEIN site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN1 ( PROTEIN2 ",HPRD50.d7.s2
39,HPRD50.d7,False,"By electrophoretic mobility shift assay using the PROTEIN1 PROTEIN site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN2 ( PROTEIN ",HPRD50.d7.s2
40,HPRD50.d7,False,"By electrophoretic mobility shift assay using the PROTEIN PROTEIN1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN ( PROTEIN2 ",HPRD50.d7.s2
41,HPRD50.d7,False,"By electrophoretic mobility shift assay using the PROTEIN1 PROTEIN2 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN ( PROTEIN ",HPRD50.d7.s2
42,HPRD50.d7,False,"By electrophoretic mobility shift assay using the PROTEIN1 PROTEIN site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN ( PROTEIN2 ",HPRD50.d7.s2
43,HPRD50.d7,False,"Finally, a direct interaction between PPARgamma and PROTEIN1 was confirmed by PROTEIN2 pull-down assay",HPRD50.d7.s3
44,HPRD50.d8,False,"By constructing deletion mutants, we identified that amino acid residues 229-309 of Akt were involved in the binding to PROTEIN1 and amino acid residues 327-340 of PROTEIN2 were involved in the binding to Akt",HPRD50.d8.s0
45,HPRD50.d9,False,"Here, we cloned and characterized a mouse orthologue of human PROTEIN1 protein as an atypical PROTEIN2 (named PROTEIN ",HPRD50.d9.s0
46,HPRD50.d9,False,"Here, we cloned and characterized a mouse orthologue of human PROTEIN protein as an atypical PROTEIN1 (named PROTEIN2 ",HPRD50.d9.s0
47,HPRD50.d9,False,"Here, we cloned and characterized a mouse orthologue of human PROTEIN1 protein as an atypical PROTEIN (named PROTEIN2 ",HPRD50.d9.s0
48,HPRD50.d9,False,"Subcellular fractionation and antibody-uptake experiments indicate that PROTEIN1 is indeed a type-I membrane protein, but, unlike other PROTEIN2 isoforms, lacks an N-terminal extracellular domain",HPRD50.d9.s1
49,HPRD50.d11,True,Direct interaction between the cytoplasmic tail of PROTEIN1 and the Src homology 3 domain of PROTEIN activates PROTEIN2 in C2C12 cells,HPRD50.d11.s0
50,HPRD50.d11,True,Direct interaction between the cytoplasmic tail of PROTEIN and the Src homology 3 domain of PROTEIN1 activates PROTEIN2 in C2C12 cells,HPRD50.d11.s0
51,HPRD50.d11,True,Direct interaction between the cytoplasmic tail of PROTEIN1 and the Src homology 3 domain of PROTEIN2 activates PROTEIN in C2C12 cells,HPRD50.d11.s0
52,HPRD50.d11,True,This suggests that transmembrane PROTEIN1 by providing docking sites for the Src homology 3 domain of PROTEIN2 activates PI 3-kinase by mediating its recruitment to the membrane,HPRD50.d11.s1
53,HPRD50.d12,True, PROTEIN1 binds to the C-terminal SH2 domain of PROTEIN2 and inhibits its enzymatic activity,HPRD50.d12.s0
54,HPRD50.d12,False,"In this report, we demonstrate the stable association of PROTEIN1 with PROTEIN in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PROTEIN2 but also inhibits its enzymatic activity in a dose-dependent manner",HPRD50.d12.s1
55,HPRD50.d12,True,"In this report, we demonstrate the stable association of PROTEIN1 with PROTEIN2 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PROTEIN but also inhibits its enzymatic activity in a dose-dependent manner",HPRD50.d12.s1
56,HPRD50.d12,True,"In this report, we demonstrate the stable association of PROTEIN with PROTEIN1 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PROTEIN2 but also inhibits its enzymatic activity in a dose-dependent manner",HPRD50.d12.s1
57,HPRD50.d13,True,Here we demonstrate colocalization and direct interaction between PROTEIN1 and PROTEIN2 ,HPRD50.d13.s0
58,HPRD50.d13,False,"Overexpression of PROTEIN1 results in a zinc finger-dependent localization of a PROTEIN isoform and dynactin to MT bundles, raising the possibility that PROTEIN2 and PROTEIN regulate dynein/dynactin binding to MTs",HPRD50.d13.s1
59,HPRD50.d13,False,"Overexpression of PROTEIN1 results in a zinc finger-dependent localization of a PROTEIN isoform and dynactin to MT bundles, raising the possibility that PROTEIN and PROTEIN2 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1
60,HPRD50.d13,True,"Overexpression of PROTEIN1 results in a zinc finger-dependent localization of a PROTEIN2 isoform and dynactin to MT bundles, raising the possibility that PROTEIN and PROTEIN regulate dynein/dynactin binding to MTs",HPRD50.d13.s1
61,HPRD50.d13,False,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN isoform and dynactin to MT bundles, raising the possibility that PROTEIN1 and PROTEIN2 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1
62,HPRD50.d13,False,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN1 isoform and dynactin to MT bundles, raising the possibility that PROTEIN2 and PROTEIN regulate dynein/dynactin binding to MTs",HPRD50.d13.s1
63,HPRD50.d13,False,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN1 isoform and dynactin to MT bundles, raising the possibility that PROTEIN and PROTEIN2 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1
64,HPRD50.d13,True,"This work suggests that PROTEIN1 is a regulated adapter between PROTEIN2 and cytoplasmic dynein at sites involved in cargo-MT loading, and/or in the control of MT dynamics",HPRD50.d13.s2
65,HPRD50.d14,False, PROTEIN1 and PROTEIN2 multifunctional endocytic receptors,HPRD50.d14.s0
66,HPRD50.d14,True, PROTEIN1 and PROTEIN2 are two structurally different endocytic receptors that interact to serve such functions,HPRD50.d14.s1
67,HPRD50.d16,True, PROTEIN1 and PROTEIN are PROTEIN2 cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,HPRD50.d16.s0
68,HPRD50.d16,False, PROTEIN1 and PROTEIN2 are PROTEIN cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,HPRD50.d16.s0
69,HPRD50.d16,True, PROTEIN and PROTEIN1 are PROTEIN2 cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,HPRD50.d16.s0
70,HPRD50.d16,False," PROTEIN1 ( PROTEIN , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
71,HPRD50.d16,False," PROTEIN1 ( PROTEIN , PROTEIN2 ( PROTEIN , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
72,HPRD50.d16,False," PROTEIN1 ( PROTEIN2 , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
73,HPRD50.d16,False," PROTEIN1 ( PROTEIN , PROTEIN ( PROTEIN2 , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
74,HPRD50.d16,False," PROTEIN1 ( PROTEIN , PROTEIN ( PROTEIN , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
75,HPRD50.d16,False," PROTEIN ( PROTEIN , PROTEIN1 ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
76,HPRD50.d16,False," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
77,HPRD50.d16,False," PROTEIN ( PROTEIN , PROTEIN ( PROTEIN1 , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
78,HPRD50.d16,False," PROTEIN ( PROTEIN , PROTEIN ( PROTEIN , and PROTEIN1 ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
79,HPRD50.d16,False," PROTEIN ( PROTEIN1 , PROTEIN2 ( PROTEIN , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
80,HPRD50.d16,False," PROTEIN ( PROTEIN , PROTEIN1 ( PROTEIN2 , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
81,HPRD50.d16,False," PROTEIN ( PROTEIN , PROTEIN1 ( PROTEIN , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
82,HPRD50.d16,False," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN2 , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
83,HPRD50.d16,False," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
84,HPRD50.d16,False," PROTEIN ( PROTEIN , PROTEIN ( PROTEIN1 , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1
85,HPRD50.d16,True,Recent evidence has implicated PROTEIN1 in inhibition of PROTEIN2 cyclinB1 kinase and in G2/M cell cycle arrest,HPRD50.d16.s2
86,HPRD50.d16,True,"Yet, whether PROTEIN1 and/or PROTEIN function as inhibitors of PROTEIN2 cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",HPRD50.d16.s3
87,HPRD50.d16,True,"Yet, whether PROTEIN and/or PROTEIN1 function as inhibitors of PROTEIN2 cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",HPRD50.d16.s3
