,docid,isValid,passage,passageid
0,IEPA.d0,True, PROTEIN1 stimulates PROTEIN2 production in dose-dependent fashion as well,IEPA.d0.s0
1,IEPA.d1,True,"Phosphoinositide hydrolysis, resulting in PROTEIN1 (IP3) and diacylglycerol (DG) formation, has been implicated in PROTEIN2 stimulated pulsatile secretion of prostaglandin F2 alpha (PGF2 alpha) from uterine endometrium of sheep and other mammals",IEPA.d1.s1
2,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
3,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN2 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
4,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
5,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN2 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
6,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
7,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN1 and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
8,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN1 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
9,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
10,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN2 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
11,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN1 than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2
12,IEPA.d2,False,"These results indicate that oTP-1 may prevent luteolysis by inhibiting development of endometrial responsiveness to PROTEIN1 and, therefore, reduce PROTEIN2 induced synthesis of PROTEIN and PGF2 alpha",IEPA.d2.s3
13,IEPA.d2,True,"These results indicate that oTP-1 may prevent luteolysis by inhibiting development of endometrial responsiveness to PROTEIN and, therefore, reduce PROTEIN1 induced synthesis of PROTEIN2 and PGF2 alpha",IEPA.d2.s3
14,IEPA.d2,False,"These results indicate that oTP-1 may prevent luteolysis by inhibiting development of endometrial responsiveness to PROTEIN1 and, therefore, reduce PROTEIN induced synthesis of PROTEIN2 and PGF2 alpha",IEPA.d2.s3
15,IEPA.d3,False, PROTEIN1 and PROTEIN2 binding in human myometrium,IEPA.d3.s4
16,IEPA.d4,False,The effects of prostaglandin F2 alpha (PGF2 alpha) on intracellular Ca2+ concentration ([Ca2+]i) and PROTEIN1 (IP) generation in human myometrial cells were evaluated and compared to the effects of PROTEIN2 ,IEPA.d4.s5
17,IEPA.d4,True,"In contrast, the potencies of PROTEIN1 to raise PROTEIN2 and [Ca2+]i were similar and independent of extracellular Ca2+, and could be suppressed by pertussis toxin and phorbol ester, but not by verapamil",IEPA.d4.s6
18,IEPA.d4,True,"The action of PGF2 alpha depends on extracellular Ca2+, whereas PROTEIN1 activates the G-protein-dependent phospholipase-C- PROTEIN2 Ca2+ signal-transducing pathway, complemented by the influx of extracellular Ca2+",IEPA.d4.s7
19,IEPA.d8,False,"The objectives of this study were to evaluate and compare the actions of endothelin-1 (ET-1), PROTEIN1 prostaglandin F2 alpha (PGF2 alpha) and PROTEIN2 (IP3) on 45Ca2+ mobilization in permeabilized rat myometrial cells and to examine the activation of the inositol lipid cycle in intact myocytes",IEPA.d8.s14
20,IEPA.d8,False,"All four agonists caused a biphasic release of 45Ca2+ from non-mitochondrial pool(s), with the rank order of potency: PROTEIN1 > PGF2 alpha > ET-1 > PROTEIN2 ",IEPA.d8.s15
21,IEPA.d8,True,"Endothelin-1 and PROTEIN1 stimulated PROTEIN2 accumulation at concentrations similar to those that promoted 45Ca2+ efflux, whereas about 100 times higher concentrations of PGF2 alpha were needed to activate this signaling pathway in intact cells",IEPA.d8.s16
22,IEPA.d8,True,"It is concluded that the primary action of PGF2 alpha in myometrial cells is to enhance Ca2+ influx, whereas PROTEIN1 and ET-1 receptors are coupled to phospholipase C, generating PROTEIN2 and raising the intracellular concentration of free Ca2+ from intracellular as well as extracellular sources",IEPA.d8.s17
23,IEPA.d9,False," PROTEIN1 induced a biphasic increase in the intracellular Ca2+ concentration of porcine myometrial cells: participation of a pertussis toxin-insensitive G-protein, PROTEIN2 sensitive Ca2+ pool, and Ca2+ channels",IEPA.d9.s18
