,docid,isValid,passage,passageid
0,AIMed.d0,FALSE,"Cytokines measurements during PROTEIN1 treatment showed a trend to decreasing levels of PROTEIN2 at 4, 12, and 24 weeks.",AIMed.d0.s5
1,AIMed.d0,FALSE,Levels of PROTEIN1 were slightly increased following PROTEIN2 treatment (P = 0.09).,AIMed.d0.s6
2,AIMed.d0,FALSE,"In patients with a complete response to PROTEIN1 the levels of PROTEIN2 were higher at 24 weeks following PROTEIN treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
3,AIMed.d0,FALSE,"In patients with a complete response to PROTEIN1 the levels of PROTEIN were higher at 24 weeks following PROTEIN2 treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
4,AIMed.d0,FALSE,"In patients with a complete response to PROTEIN1 the levels of PROTEIN were higher at 24 weeks following PROTEIN treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN2 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
5,AIMed.d0,FALSE,"In patients with a complete response to PROTEIN the levels of PROTEIN1 were higher at 24 weeks following PROTEIN2 treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
6,AIMed.d0,FALSE,"In patients with a complete response to PROTEIN the levels of PROTEIN1 were higher at 24 weeks following PROTEIN treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN2 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
7,AIMed.d0,FALSE,"In patients with a complete response to PROTEIN the levels of PROTEIN were higher at 24 weeks following PROTEIN1 treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN2 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
8,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN ( PROTEIN . collagen types II ( PROTEIN1 and III ( PROTEIN2 in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
9,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN1 ( PROTEIN . collagen types II ( PROTEIN and III ( PROTEIN2 in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
10,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN ( PROTEIN . collagen types II ( PROTEIN and III ( PROTEIN2 in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
11,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN ( PROTEIN1 . collagen types II ( PROTEIN and III ( PROTEIN2 in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
12,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN1 ( PROTEIN . collagen types II ( PROTEIN2 and III ( PROTEIN in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
13,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN ( PROTEIN . collagen types II ( PROTEIN2 and III ( PROTEIN in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
14,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN ( PROTEIN1 . collagen types II ( PROTEIN2 and III ( PROTEIN in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
15,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN2 ( PROTEIN . collagen types II ( PROTEIN and III ( PROTEIN in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
16,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN1 ( PROTEIN2 . collagen types II ( PROTEIN and III ( PROTEIN in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
17,AIMed.d1,FALSE,"This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN ( PROTEIN2 . collagen types II ( PROTEIN and III ( PROTEIN in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
18,AIMed.d1,FALSE," PROTEIN1 was detected in mesenchymal cells in the outer fibrous layer and chondrocytes in the inner cartilaginous matrix, positive for PROTEIN and PROTEIN2 respectively.",AIMed.d1.s14
19,AIMed.d1,FALSE," PROTEIN1 was detected in mesenchymal cells in the outer fibrous layer and chondrocytes in the inner cartilaginous matrix, positive for PROTEIN2 and PROTEIN respectively.",AIMed.d1.s14
20,AIMed.d1,FALSE," PROTEIN was detected in mesenchymal cells in the outer fibrous layer and chondrocytes in the inner cartilaginous matrix, positive for PROTEIN1 and PROTEIN2 respectively.",AIMed.d1.s14
21,AIMed.d1,FALSE,This is the first study to provide observational evidence of the involvement of PROTEIN1 signaling in the pathogenesis of cartilage cap of osteochondroma. and suggests the role of PROTEIN2 in the growth of cartilage cap in osteochondroma.,AIMed.d1.s16
22,AIMed.d2,FALSE,The molar ratio of serum PROTEIN ( PROTEIN1 to PROTEIN2 ( PROTEIN is not useful to assess vitamin A status during infection in hospitalised children.,AIMed.d2.s17
23,AIMed.d2,FALSE,The molar ratio of serum PROTEIN ( PROTEIN1 to PROTEIN ( PROTEIN2 is not useful to assess vitamin A status during infection in hospitalised children.,AIMed.d2.s17
24,AIMed.d2,FALSE,The molar ratio of serum PROTEIN1 ( PROTEIN2 to PROTEIN ( PROTEIN is not useful to assess vitamin A status during infection in hospitalised children.,AIMed.d2.s17
25,AIMed.d2,FALSE,The molar ratio of serum PROTEIN ( PROTEIN to PROTEIN1 ( PROTEIN2 is not useful to assess vitamin A status during infection in hospitalised children.,AIMed.d2.s17
26,AIMed.d2,FALSE,The molar ratio of serum PROTEIN1 ( PROTEIN to PROTEIN2 ( PROTEIN is not useful to assess vitamin A status during infection in hospitalised children.,AIMed.d2.s17
27,AIMed.d2,FALSE,The molar ratio of serum PROTEIN1 ( PROTEIN to PROTEIN ( PROTEIN2 is not useful to assess vitamin A status during infection in hospitalised children.,AIMed.d2.s17
28,AIMed.d2,FALSE,OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN1 ( PROTEIN to PROTEIN2 ( PROTEIN to determine vitamin A (VA) status during infection.,AIMed.d2.s18
29,AIMed.d2,FALSE,OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN ( PROTEIN1 to PROTEIN2 ( PROTEIN to determine vitamin A (VA) status during infection.,AIMed.d2.s18
30,AIMed.d2,FALSE,OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN ( PROTEIN to PROTEIN1 ( PROTEIN2 to determine vitamin A (VA) status during infection.,AIMed.d2.s18
31,AIMed.d2,FALSE,OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN1 ( PROTEIN2 to PROTEIN ( PROTEIN to determine vitamin A (VA) status during infection.,AIMed.d2.s18
32,AIMed.d2,FALSE,OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN1 ( PROTEIN to PROTEIN ( PROTEIN2 to determine vitamin A (VA) status during infection.,AIMed.d2.s18
33,AIMed.d2,FALSE,OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN ( PROTEIN1 to PROTEIN ( PROTEIN2 to determine vitamin A (VA) status during infection.,AIMed.d2.s18
34,AIMed.d2,FALSE,"DESIGN: We took advantage of previously collected data during a randomised double-blind, placebo-controlled clinical trial to conduct a secondary analysis of the PROTEIN1 PROTEIN2 ratio and its relationship to infection and VA status.",AIMed.d2.s19
35,AIMed.d2,FALSE,MAIN OUTCOME MEASURES: PROTEIN1 PROTEIN2 molar ratio after 7 days hospitalisation.,AIMed.d2.s23
36,AIMed.d2,FALSE,"RESULTS: After 7 days hospitalisation, molar PROTEIN PROTEIN1 ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN2 PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.",AIMed.d2.s24
37,AIMed.d2,FALSE,"RESULTS: After 7 days hospitalisation, molar PROTEIN PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN1 PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN2 PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.",AIMed.d2.s24
38,AIMed.d2,FALSE,"RESULTS: After 7 days hospitalisation, molar PROTEIN PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN1 PROTEIN2 ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.",AIMed.d2.s24
