,docid,isValid,passage,passageid
0,AIMed.d0,False,"Cytokines measurements during IFN-alpha treatment showed a trend to decreasing levels of IL-4 at 4, 12, and 24 weeks.",AIMed.d0.s5
1,AIMed.d0,False,Levels of IFN-gamma were slightly increased following IFN-alpha treatment (P = 0.09).,AIMed.d0.s6
2,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
3,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
4,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
5,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
6,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
7,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7
8,AIMed.d1,False,"This study describes the distributions of bone morphogenetic protein (BMP)-2 as well as mRNAs for BMP receptor type IB (BMPRIB). collagen types II (Col II) and III (Col III) in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
9,AIMed.d1,False,"This study describes the distributions of bone morphogenetic protein (BMP)-2 as well as mRNAs for BMP receptor type IB (BMPRIB). collagen types II (Col II) and III (Col III) in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12
