,docid,isValid,passage,passageid
0,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a beta-catenin*T-cell factor*DNA complex.,BioInfer.d0.s0
1,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a beta-catenin*T-cell factor*DNA complex.,BioInfer.d0.s0
2,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a beta-catenin*T-cell factor*DNA complex.,BioInfer.d0.s0
3,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a beta-catenin*T-cell factor*DNA complex.,BioInfer.d0.s0
4,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a beta-catenin*T-cell factor*DNA complex.,BioInfer.d0.s0
5,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a beta-catenin*T-cell factor*DNA complex.,BioInfer.d0.s0
6,BioInfer.d1,True,A binary complex of birch profilin and skeletal muscle actin could be isolated by gel chromatography.,BioInfer.d1.s0
7,BioInfer.d1,True,"Birch profilin increased the critical concentration required for muscle and brain actin polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1
8,BioInfer.d1,True,"Birch profilin increased the critical concentration required for muscle and brain actin polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1
9,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and brain actin polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1
10,BioInfer.d1,True,Interaction of plant profilin with mammalian actin.,BioInfer.d1.s2
11,BioInfer.d1,True,"In viscometric assays, the birch protein was seen to modulate actin filament formation analogous to animal profilin.",BioInfer.d1.s3
12,BioInfer.d1,True,"These data indicate that the actin-binding domains in plant and animal profilins are functionally highly conserved, although the overall sequence similarity is less than 25%.",BioInfer.d1.s4
13,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
14,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
15,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
16,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
17,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
18,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
19,BioInfer.d3,True,Absence of alpha-syntrophin leads to structurally aberrant neuromuscular synapses deficient in utrophin.,BioInfer.d3.s0
20,BioInfer.d3,False,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
21,BioInfer.d3,True,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
22,BioInfer.d3,False,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
23,BioInfer.d3,True,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
24,BioInfer.d3,False,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
25,BioInfer.d3,True,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
26,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
27,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
28,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
29,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
30,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
31,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
32,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
33,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
34,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
35,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
36,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
37,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
38,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
39,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
40,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
41,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
42,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
43,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
44,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
45,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
46,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
47,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of profilin.,BioInfer.d5.s0
48,BioInfer.d5,True,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of profilin.,BioInfer.d5.s0
49,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of profilin.,BioInfer.d5.s0
50,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of profilin.,BioInfer.d5.s0
51,BioInfer.d5,True,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of profilin.,BioInfer.d5.s0
52,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of profilin.,BioInfer.d5.s0
53,BioInfer.d5,True,Acanthamoeba profilin was cross-linked to actin via a zero-length isopeptide bond using carbodiimide.,BioInfer.d5.s1
54,BioInfer.d5,False,"Since the NH2 terminus of profilin is blocked, Edman degradation gave only the sequence of the conjugated actin CNBr fragment beginning with Trp-356.",BioInfer.d5.s2
55,BioInfer.d6,True,Acanthamoeba profilin affects the mechanical properties of nonfilamentous actin.,BioInfer.d6.s0
56,BioInfer.d6,True,"In contrast, profilin had little effect on the rigidity and viscosity of actin filaments.",BioInfer.d6.s1
57,BioInfer.d6,False,"We speculate that nonfilamentous actin and profilin, both of which form shear-sensitive structures, can be modeled as flocculant materials.",BioInfer.d6.s2
