,docid,isValid,passage,passageid
0,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0
1,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0
2,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0
3,HPRD50.d1,True,"Identification of residues in the monocyte chemotactic protein-1 that contact the MCP-1 receptor, CCR2",HPRD50.d1.s0
4,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1
5,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1
6,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1
7,HPRD50.d1,True,It was previously shown that the N-terminus of CCR2 is critical for binding MCP-1,HPRD50.d1.s2
8,HPRD50.d1,True,"To identify the regions of MCP-1 that contact its receptor, CCR2, we substituted all surface-exposed residues with alanine",HPRD50.d1.s3
9,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,HPRD50.d2.s0
10,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,HPRD50.d2.s0
11,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,HPRD50.d2.s0
12,HPRD50.d2,False,The formation of a functional single chain/subunit complex was not restricted to the FSH single chain/CG beta subunit since CG single chain interacts with the monomeric FSH beta subunit and exhibits FSH activity,HPRD50.d2.s1
13,HPRD50.d2,False,"This is relevant for the case of LH and FSH, because both are synthesized in the same cell (i.e., pituitary gonadotrophs) and several of the alpha subunit sequences required for association with either the LH beta or FSH beta subunits are different",HPRD50.d2.s2
