,docid,isValid,passage,passageid
0,LLL.d0,True,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0
1,LLL.d0,False,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0
2,LLL.d0,True,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0
3,LLL.d1,False,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0
4,LLL.d1,True,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0
5,LLL.d1,True,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0
6,LLL.d2,True,"Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).",LLL.d2.s0
7,LLL.d2,True,ykuD was transcribed by SigK RNA polymerase from T4 of sporulation.,LLL.d2.s1
8,LLL.d2,True,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2
9,LLL.d2,False,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2
10,LLL.d2,True,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2
11,LLL.d3,True,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",LLL.d3.s0
12,LLL.d3,False,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",LLL.d3.s0
13,LLL.d3,True,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",LLL.d3.s0
14,LLL.d4,True,"Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore.",LLL.d4.s0
15,LLL.d4,True,Localization of SpoIIE was shown to be dependent on the essential cell division protein FtsZ.,LLL.d4.s1
16,LLL.d5,True,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",LLL.d5.s0
17,LLL.d5,True,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",LLL.d5.s0
18,LLL.d5,False,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",LLL.d5.s0
19,LLL.d6,False,The expression of rsfA is under the control of both sigma(F) and sigma(G).,LLL.d6.s0
20,LLL.d6,True,The expression of rsfA is under the control of both sigma(F) and sigma(G).,LLL.d6.s0
21,LLL.d6,True,The expression of rsfA is under the control of both sigma(F) and sigma(G).,LLL.d6.s0
